candidate_id,model_split,raw_split,raw_source_file,raw_source_row,raw_refcode,outcome_binary,source_doi,source_doi_normalized,source_group_id,source_group_basis,original_model_split,final_evaluation_split,exclusion_reason,predicted_success,uncertainty,proxy_total_cost,cost_synthesis,cost_characterization,risk_score,score_source,uncertainty_source,cost_source,risk_source
mofsimplify_solvent_val_00007_ANAWIX,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,7,ANAWIX,1,10.1021/acs.cgd.6b00488,10.1021/acs.cgd.6b00488,10.1021/acs.cgd.6b00488,normalized_source_doi,calibration,calibration,,0.54636454286236524,0.99378844129073141,1.3977568698101828,0.93183791320678855,0.46591895660339427,0.72371194921418303,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00010_ATEYED,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,10,ATEYED,0,10.1039/b314322h,10.1039/b314322h,10.1039/b314322h,normalized_source_doi,calibration,calibration,,0.43745527739928708,0.98868318734885707,1.8249970777604578,1.2166647185069719,0.60833235925348594,0.77561395497478502,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00012_ATIJUJ,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,12,ATIJUJ,1,10.1021/ja1097995,10.1021/ja1097995,10.1021/ja1097995,normalized_source_doi,calibration,calibration,,0.60560804570987625,0.9675754212249521,1.8852310843265032,1.2568207228843356,0.62841036144216778,0.68098368775753793,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00014_AXAFAG,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,14,AXAFAG,1,10.1021/cm0350838,10.1021/cm0350838,10.1021/cm0350838,normalized_source_doi,calibration,calibration,,0.52648865686170399,0.99797452102950057,2.4697597409338647,1.6465064939559098,0.82325324697795488,0.73574293208389829,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00021_BAZGEQ,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,21,BAZGEQ,1,10.1021/ic201376t,10.1021/ic201376t,10.1021/ic201376t,normalized_source_doi,calibration,calibration,,0.64454436719258523,0.93884624732798705,2.0648642908346115,1.376576193889741,0.68828809694487048,0.64715094006770091,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00028_BOLZIN,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,28,BOLZIN,1,10.1002/chem.201402895,10.1002/chem.201402895,10.1002/chem.201402895,normalized_source_doi,calibration,calibration,,0.77985043848550073,0.76044050387554341,2.2902785295470816,1.5268523530313878,0.76342617651569389,0.49029503269502134,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00030_BUSNAF,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,30,BUSNAF,0,10.1021/ja1009635,10.1021/ja1009635,10.1021/ja1009635,normalized_source_doi,calibration,calibration,,0.5643906900067025,0.98800341913130696,1.6361616322681032,1.0907744215120687,0.54538721075603436,0.71180636456230229,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00035_COZMUA,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,35,COZMUA,0,10.1039/b900085b,10.1039/b900085b,10.1039/b900085b,normalized_source_doi,calibration,calibration,,0.55255618689996022,0.9920153704808935,1.5769326002375674,1.0512884001583782,0.52564420007918911,0.71972959179046669,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00052_DUPKAC,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,52,DUPKAC,1,10.1039/C5TA03537F,10.1039/c5ta03537f,10.1039/c5ta03537f,normalized_source_doi,calibration,calibration,,0.55827346395488409,0.9901794989713727,1.5581115622888109,1.038741041525874,0.51937052076293699,0.71595301750824425,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00055_EBEMEF,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,55,EBEMEF,0,10.1039/c1ce05699a,10.1039/c1ce05699a,10.1039/c1ce05699a,normalized_source_doi,calibration,calibration,,0.29628511883213104,0.87670233990216828,2.0306059191842523,1.3537372794561682,0.67686863972808409,0.79020861053501856,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
mofsimplify_solvent_val_00061_EJUVOU,calibration,val,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/val.csv,61,EJUVOU,1,10.1039/b303910b,10.1039/b303910b,10.1039/b303910b,normalized_source_doi,calibration,calibration,,0.40109727459779754,0.97158884125209632,2.0394162330093044,1.3596108220062029,0.67980541100310143,0.78524578332714934,train_fit_logistic_C_selected_by_train_internal_CV,normalized_binary_entropy_proxy_not_calibrated,1_plus_mean_absolute_train_standardized_descriptor_value,0.5*(1-predicted_success)+0.5*uncertainty; benchmark-defined uncalibrated proxy; descriptive in the primary cost-only comparison and constrained only in the legacy stress test
