candidate_id,model_split,raw_split,raw_source_file,raw_source_row,raw_refcode,source_doi,source_doi_normalized,source_group_id,source_group_basis,mof_name,source_dataset,assay_type,outcome_label,outcome_value,outcome_unit,evidence_grade,topology_family,metal_node,linker_family,source_url,cost_synthesis,cost_characterization,predicted_success,uncertainty,risk_score,feature_available,score_source,uncertainty_source,cost_source,risk_source,raw_filename,original_model_split,final_evaluation_split,exclusion_reason
mofsimplify_solvent_train_00001_ABAVIJ,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,1,ABAVIJ,10.1039/b404485a,10.1039/b404485a,10.1039/b404485a,normalized_source_doi,ABAVIJ_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,1,1,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ABAVIJ_clean.cif,train,train,
mofsimplify_solvent_train_00002_ABAYIO,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,2,ABAYIO,10.1021/acs.cgd.6b00776,10.1021/acs.cgd.6b00776,10.1021/acs.cgd.6b00776,normalized_source_doi,ABAYIO_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,1,1,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ABAYIO_clean.cif,train,train,
mofsimplify_solvent_train_00003_ABESUX,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,3,ABESUX,10.1021/ic200345j,10.1021/ic200345j,10.1021/ic200345j,normalized_source_doi,ABESUX_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,1,1,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ABESUX_clean.cif,train,train,
mofsimplify_solvent_train_00004_ABETAE,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,4,ABETAE,10.1021/ic200345j,10.1021/ic200345j,10.1021/ic200345j,normalized_source_doi,ABETAE_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,1,1,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ABETAE_clean.cif,train,train,
mofsimplify_solvent_train_00005_ABEXEM,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,5,ABEXEM,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,ABEXEM_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ABEXEM_clean.cif,train,train,
mofsimplify_solvent_train_00006_ABEXIQ,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,6,ABEXIQ,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,ABEXIQ_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ABEXIQ_clean.cif,train,train,
mofsimplify_solvent_train_00007_ABEXOW,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,7,ABEXOW,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,ABEXOW_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ABEXOW_clean.cif,train,train,
mofsimplify_solvent_train_00008_ABEYAJ,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,8,ABEYAJ,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,ABEYAJ_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ABEYAJ_clean.cif,train,train,
mofsimplify_solvent_train_00009_ABEYEN,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,9,ABEYEN,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,ABEYEN_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ABEYEN_clean.cif,train,train,
mofsimplify_solvent_train_00010_CAKXET,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,10,CAKXET,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,CAKXET_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,CAKXET_clean.cif,train,train,
mofsimplify_solvent_train_00011_CAKXIX,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,11,CAKXIX,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,CAKXIX_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,CAKXIX_clean.cif,train,train,
mofsimplify_solvent_train_00012_CAKXOD,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,12,CAKXOD,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,CAKXOD_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,CAKXOD_clean.cif,train,train,
mofsimplify_solvent_train_00013_CAKXUJ,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,13,CAKXUJ,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,CAKXUJ_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,CAKXUJ_clean.cif,train,train,
mofsimplify_solvent_train_00014_CAKYAQ,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,14,CAKYAQ,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,CAKYAQ_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,CAKYAQ_clean.cif,train,train,
mofsimplify_solvent_train_00015_CAKYEU,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,15,CAKYEU,10.1021/ic201013v,10.1021/ic201013v,10.1021/ic201013v,normalized_source_doi,CAKYEU_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,CAKYEU_clean.cif,train,train,
mofsimplify_solvent_train_00016_ACAJOF,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,16,ACAJOF,10.1039/c2dt31427d,10.1039/c2dt31427d,10.1039/c2dt31427d,normalized_source_doi,ACAJOF_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ACAJOF_clean.cif,train,train,
mofsimplify_solvent_train_00017_ACODON,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,17,ACODON,10.1039/c2cc35526d,10.1039/c2cc35526d,10.1039/c2cc35526d,normalized_source_doi,ACODON_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ACODON_clean.cif,train,train,
mofsimplify_solvent_train_00018_ADODII,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,18,ADODII,10.1039/c2cc35432b,10.1039/c2cc35432b,10.1039/c2cc35432b,normalized_source_doi,ADODII_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,1,1,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ADODII_clean.cif,train,train,
mofsimplify_solvent_train_00019_ADODOO,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,19,ADODOO,10.1039/c2cc35432b,10.1039/c2cc35432b,10.1039/c2cc35432b,normalized_source_doi,ADODOO_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,1,1,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ADODOO_clean.cif,train,train,
mofsimplify_solvent_train_00020_ADODUU,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,20,ADODUU,10.1039/c2cc35432b,10.1039/c2cc35432b,10.1039/c2cc35432b,normalized_source_doi,ADODUU_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,1,1,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ADODUU_clean.cif,train,train,
mofsimplify_solvent_train_00021_ADOGEH,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,21,ADOGEH,10.1039/c2cc36220a,10.1039/c2cc36220a,10.1039/c2cc36220a,normalized_source_doi,ADOGEH_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ADOGEH_clean.cif,train,train,
mofsimplify_solvent_train_00022_ADUWIH,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,22,ADUWIH,10.1002/chem.201300144,10.1002/chem.201300144,10.1002/chem.201300144,normalized_source_doi,ADUWIH_clean,MOFSimplify_official_GitHub_solvent_removal,solvent_removal_activation,0,0,binary_flag,official_mofsimplify_github_split_table,,,,https://github.com/hjkgrp/MOFSimplify/blob/5693968b3e9b9e26eab3bdb1db908ae2877d4bb7/model/solvent/ANN/dropped_connectivity_dupes/train.csv,,,,,,yes,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,generated_during_reproduction,ADUWIH_clean.cif,train,train,
