candidate_id,model_split,raw_split,raw_source_file,raw_source_row,raw_refcode,thermal_T,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,Df,Di,Dif,GPOAV,GPONAV,GPOV,GSA,POAV,POAV_vol_frac,PONAV,PONAV_vol_frac,VPOV,VSA,cell_v
mofsimplify_thermal_train_00001_EZABEN,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,1,EZABEN,423.06592929999999,173.71950000000001,376.69760000000002,793.63679999999999,1049.2824000000001,8508,13878,20980,23886,23,56,108,142,164,462,796,882,19.3172,48.936599999999999,89.943799999999996,112.027,2.8561000000000001,22.533333330000001,29.41726667,51.15066667,2304,2096,3360,4144,1,4.3333333329999997,6.6666666670000003,11.66666667,19,48,91.333333330000002,118.66666669999999,2.1903999999999999,5.2835999999999999,8.2386666670000004,11.598266669999999,0,-6.0099999999999998,-6.1399999999999997,-10.550000000000001,0,164.33333329999999,250,473.66666670000001,0,0,0,0,0,8,8,23,0,2.8433333329999999,4.2999999999999998,9.4299999999999997,50.409799999999997,102.9392,134.48339999999999,49.192,221,458,492,52,7,14,18,8,32,68,74,20,3.1471,6.8845999999999998,7.9657999999999998,2.2496,9.2416,16.497066669999999,26.407466670000002,4.4586666670000001,49,88.666666669999998,102.66666669999999,4.6666666670000003,1,2,3.3333333330000001,0.66666666699999999,4,10.66666667,12,1.3333333329999999,0.5625,1.145,1.5049999999999999,0.185,54.759999999999998,148,173.230152,22.235075999999999,0,0.65333333299999996,1.4466666669999999,0.56000000000000005,0,1.3333333329999999,8.6666666669999994,4,0,0,0,0,0,-1.3333333329999999,0.66666666699999999,0.66666666699999999,0,-0.026666667000000002,0.49333333299999999,0.25333333299999999,0,-5.2000000000000002,1.257186667,1.928593333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7523300000000002,5.2280899999999999,5.19001,0,0.20488300000000001,0.20488247000000001,0,0,0,440.76299999999998,0.37069999999999997,0.37069999999999997,0,1189
mofsimplify_thermal_train_00002_MOFKUO,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,2,MOFKUO,328.75843229999998,92.596400000000003,170.24000000000001,240.4392,372.096,1325,2296,3660,2016,13,24,36,48,60,144,180,144,8.8976000000000006,17.52,28.494800000000001,27.719999999999999,3.6099999999999999,23.103999999999999,38.759999999999998,79.647999999999996,841,812,1392,1856,1,4,8,16,16,48,96,112,1.9044000000000001,4.1399999999999997,8.5007999999999999,12.364800000000001,0,-4.5599999999999996,-5.2000000000000002,-11.52,0,88,184,400,0,0,0,0,0,4,8,36,0,2.52,4.8799999999999999,13.119999999999999,165.5496,365.66140000000001,609.86680000000001,636.68100000000004,594,1396,1816,1272,26,54,92,106,146,364,492,452,9.7609999999999992,24.195,35.447600000000001,33.061,9.2416,15.504,31.859200000000001,7.7519999999999998,49,84,112,42,1,2,4,1,4,12,14,8,0.5625,1.155,1.6799999999999999,0.57750000000000001,54.759999999999998,167.24000000000001,176.22522799999999,83.620000000000005,0,0.97999999999999998,1.6799999999999999,0.48999999999999999,0,2,12,1,0,0,0,0,0,-2,1,-2,0,-0.040000000000000001,0.76000000000000001,-0.02,0,-7.7999999999999998,5.7857799999999999,-3.8999999999999999,9.2416,20.869599999999998,38.121600000000001,27.815999999999999,49,112,147,63,1,2.5,5,4,6.5,19.5,28,17.5,0.5625,1.42875,2.2725,1.4099999999999999,54.759999999999998,180.19,288.70522799999998,183.677842,0,0.73499999999999999,2.6600000000000001,3.0099999999999998,0,1.5,14,19,0,0,0,0,0,-1,2,3,0,-0.029999999999999999,0.71999999999999997,1.1200000000000001,0,-5.8499999999999996,-2.0142199999999999,4.77867,5.8937200000000001,10.066739999999999,10.065429999999999,0.61422600000000005,0,0.61422573599999997,1995.3199999999999,2741.5999999999999,0.47620000000000001,0,0,0.47620000000000001,1546.9400000000001,5757.25
mofsimplify_thermal_train_00003_VIXTUT,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,3,VIXTUT,262.84032380000002,83.887900000000002,139.87200000000001,202.31120000000001,299.47199999999998,1342,2328,2978,1632,11,20,28,36,48,112,126,88,7.4642999999999997,14.6236,21.046800000000001,20.481999999999999,2.7225000000000001,21.384,25.245000000000001,51.116999999999997,900,900,1080,1680,1,4,6,12,16,40,72,104,1.7161,3.8776000000000002,6.0522,9.9036000000000008,0,-6.3600000000000003,-5.4000000000000004,-11.18,0,90,144,304,0,0,0,0,0,6,6,22,0,2.2799999999999998,3.2400000000000002,8.1600000000000001,123.64879999999999,246.89099999999999,396.99520000000001,466.52300000000002,473,960,1264,1076,19,38,62,76,100,244,314,306,7.4667000000000003,17.417400000000001,24.7454,25.734400000000001,10.537599999999999,12.138,24.742799999999999,22.518000000000001,56.5,66,105,60,1,1.5,3,3,2.5,7.5,10.5,8,0.54769999999999996,0.85855000000000004,1.4025000000000001,1.1173999999999999,41.424999999999997,113.565,160.962614,128.99529699999999,0,0.93500000000000005,1.7749999999999999,2.77,0,2,8,14.5,0,0,0,0,0,-2,-1.5,-1,0,-0.040000000000000001,0.34000000000000002,0.70999999999999996,0,-6.9000000000000004,-4.0071099999999999,-1.2642199999999999,5.9168000000000003,4.3860000000000001,10.3028,11.954000000000001,32,24,56,32,0.5,0.5,1,1.5,0.5,1.5,2.5,3,0.26645000000000002,0.28105000000000002,0.54749999999999999,0.55115000000000003,14.045,29.945,43.990000000000002,53.832683000000003,0,0.44500000000000001,0.44500000000000001,1.6850000000000001,0,1,1,8,0,0,0,0,0,-1,-1.5,-1.5,0,-0.02,-0.02,0.34000000000000002,0,-3,-3,-2.2071100000000001,3.0046599999999999,3.9390000000000001,3.9372600000000002,0,0.0142709,0.014270846,0,0,0,34.664900000000003,0.018100000000000002,0.018100000000000002,0,1915.1900000000001
mofsimplify_thermal_train_00004_PUGFII,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,4,PUGFII,431.94097319999997,188.22569999999999,359.82400000000001,838.15319999999997,907.47199999999998,2859,6752,10068,10432,21,52,90,116,150,416,650,696,15.7485,41.902000000000001,66.455399999999997,79.686800000000005,2.4024999999999999,24.882666669999999,19.013333329999998,44.247333329999996,625,933.33333330000005,1433.333333,1666.666667,1,4.6666666670000003,5.3333333329999997,9.3333333330000006,22.666666670000001,52,92,113.33333330000001,1.9320999999999999,4.7352666670000003,6.8573333329999997,9.6929333329999992,0,-8.8200000000000003,-4,-14.08,0,79.333333330000002,76,166.66666670000001,0,0,0,0,0,12,8,22,0,3.0800000000000001,2.48,6,207.41300000000001,403.82279999999997,664.59059999999999,823.93399999999997,1152,2384,3336,3688,29,60,96,124,156,388,552,604,13.633599999999999,31.776399999999999,47.749600000000001,56.381999999999998,11.833600000000001,8.7720000000000002,20.605599999999999,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.53290000000000004,0.56210000000000004,1.095,1.1242000000000001,28.09,59.890000000000001,87.980000000000004,119.78,0,0.89000000000000001,0.89000000000000001,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.040000000000000001,-0.040000000000000001,-0.080000000000000002,0,-6,-6,-12,10.10786667,16.2196,28.357066669999998,39.731999999999999,128,234.66666670000001,234.66666670000001,277.33333329999999,1,2,3.3333333330000001,5.3333333329999997,6,13.33333333,20.666666670000001,29.333333329999999,0.70206666699999998,1.5164,2.1519333330000001,3.0493333329999999,144.18000000000001,283.24000000000001,390.87333330000001,568.58391200000005,0,0.02,1.2266666669999999,2.9199999999999999,0,6.6666666670000003,16,38.666666669999998,0,0,0,0,0,0.66666666699999999,-1.3333333329999999,0,0,0.16666666699999999,0.28000000000000003,1.0933333329999999,0,5.4000000000000004,2.7999999999999998,14.65718667,2.9948299999999999,5.5936300000000001,4.6754699999999998,0,0.11518100000000001,0.11518088899999999,0,0,0,824.45699999999999,0.14330000000000001,0.14330000000000001,0,5753.3599999999997
mofsimplify_thermal_train_00005_ELERIX,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,5,ELERIX,332.41415890000002,325.95346669999998,649.02599999999995,1353.9792,1391.8626670000001,20945.333330000001,51088,72792,74389.333329999994,44,105.33333330000001,177.33333329999999,209.33333329999999,326.66666670000001,964,1260,1420,38.776066669999999,110.1390667,167.4444,200.74359999999999,3.076666667,20.830666669999999,20.458888890000001,47.877777780000002,1376.1111109999999,4086.666667,3004.2222219999999,5242,1,4.4444444440000002,5.3333333329999997,10,21.777777780000001,59.333333330000002,77.111111109999996,114.2222222,2.1158888889999998,6.817777778,8.3112444439999997,12.154066670000001,0,-5.9333333330000002,-2.2999999999999998,-9.2799999999999994,0,43.111111110000003,81.111111109999996,162.66666670000001,0,0,0,0,0,9.1111111109999996,4.6666666670000003,15.55555556,0,1.932222222,1.766666667,5.7400000000000002,91.283799999999999,176.001,261.86520000000002,273.572,397,768,1020,884,13,26,38,42,64,150,190,168,5.7332999999999998,12.7666,17.267800000000001,16.611000000000001,10.493053850000001,12.36357692,22.9912359,19.344487180000002,56.46153846,67.38461538,103.8974359,80.717948719999995,1,1.5128205130000001,2.7179487180000002,2.5128205129999999,2.692307692,7.153846154,9.384615385,8.8205128209999994,0.54814102600000003,0.86378205100000005,1.3227538459999999,1.1757487179999999,45.325384620000001,112.8551282,153.25469720000001,149.0111603,0,0.71692307700000002,1.4569230769999999,1.836923077,0,1.538461538,6.153846154,7.692307692,0,0,0,0,0,-1.538461538,-1.1282051280000001,-1.5897435900000001,0,-0.030769231000000001,0.23589743599999999,0.28205128200000001,0,-5.2615384619999999,-4.1076687180000002,-5.0472241029999996,0.91027692299999996,0.67476923099999997,1.585046154,1.3495384619999999,4.923076923,3.692307692,8.615384615,7.384615385,0.076923077000000006,0.076923077000000006,0.15384615400000001,0.15384615400000001,0.076923077000000006,0.23076923099999999,0.30769230800000003,0.46153846199999998,0.040992307999999998,0.043238461999999998,0.084230768999999997,0.086476922999999997,2.1607692310000002,4.6069230770000003,6.767692308,9.2138461540000005,0,0.068461538000000002,0.068461538000000002,0.136923077,0,0.15384615400000001,0.15384615400000001,0.30769230800000003,0,0,0,0,0,-0.15384615400000001,-0.15384615400000001,-0.30769230800000003,0,-0.0030769230000000001,-0.0030769230000000001,-0.0061538460000000001,0,-0.46153846199999998,-0.46153846199999998,-0.92307692299999999,3.0594399999999999,3.7420599999999999,3.7420599999999999,0,0,0,0,0,0,0,0,0,0,3128.0700000000002
mofsimplify_thermal_train_00006_YONNAR,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,6,YONNAR,443.38884480000002,152.0224,280.36000000000001,531.44460000000004,636.05600000000004,3457,6064,10764,9632,18,40,64,86,104,272,414,424,13.0458,30.572399999999998,48.528399999999998,56.283000000000001,2.7225000000000001,20.812000000000001,20.295000000000002,45.276000000000003,900,880,2310,1920,1,3.6666666669999999,5.6666666670000003,8.6666666669999994,13.66666667,34.666666669999998,60.333333330000002,71.333333330000002,1.7161,3.5064333329999999,6.6067666669999996,8.4276666670000004,0,-6.5633333330000001,-2.9500000000000002,-13.140000000000001,0,80.666666669999998,93,196,0,0,0,0,0,4.3333333329999997,4.6666666670000003,12.66666667,0,2.1266666669999998,2.3799999999999999,4.9199999999999999,240.75380000000001,454.767,707.79079999999999,849.09900000000005,1166,2208,3296,3480,32,66,100,126,166,404,560,598,15.7568,34.942599999999999,50.925199999999997,58.9358,11.833600000000001,8.7720000000000002,20.605599999999999,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.53290000000000004,0.56210000000000004,1.095,1.1242000000000001,28.09,59.890000000000001,87.980000000000004,119.78,0,0.89000000000000001,0.89000000000000001,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.040000000000000001,-0.040000000000000001,-0.080000000000000002,0,-6,-6,-12,11.833600000000001,8.7720000000000002,20.605599999999999,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.53290000000000004,0.56210000000000004,1.095,1.1242000000000001,28.09,59.890000000000001,87.980000000000004,119.78,0,0.89000000000000001,0.89000000000000001,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.040000000000000001,-0.040000000000000001,-0.080000000000000002,0,-6,-6,-12,5.7057799999999999,11.86103,11.72639,0.96323400000000003,0,0.96323368799999998,2979.4200000000001,16659.599999999999,0.66600000000000004,0,0,0.66600000000000004,2060.0300000000002,25014.400000000001
mofsimplify_thermal_train_00007_YARKOT,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,7,YARKOT,329.72663519999998,76.066900000000004,115.584,175.66319999999999,210.52799999999999,1300,2304,2208,1152,9,16,20,24,36,80,80,48,6.2192999999999996,12.1472,14.464399999999999,13.490399999999999,2.7225000000000001,22.704000000000001,16.829999999999998,39.533999999999999,900,960,720,1680,1,4,4,8,16,32,48,64,1.7161,3.8252000000000002,4.0347999999999997,7.8600000000000003,0,-7.1600000000000001,-3.6000000000000001,-10.76,0,88,96,184,0,0,0,0,0,8,4,16,0,2.3199999999999998,2.1600000000000001,4.4800000000000004,239.58240000000001,450.83999999999997,712.94179999999994,870.404,1158,2184,3320,3620,31,64,98,124,162,396,554,620,15.103899999999999,33.633600000000001,49.493000000000002,58.025199999999998,11.833600000000001,8.7720000000000002,20.605599999999999,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.53290000000000004,0.56210000000000004,1.095,1.1242000000000001,28.09,59.890000000000001,87.980000000000004,119.78,0,0.89000000000000001,0.89000000000000001,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.040000000000000001,-0.040000000000000001,-0.080000000000000002,0,-6,-6,-12,11.833600000000001,10.526400000000001,23.502079999999999,27.107199999999999,64,57.600000000000001,128,121.59999999999999,1,1.2,2.3999999999999999,3.2000000000000002,1.6000000000000001,4.7999999999999998,8,11.199999999999999,0.53290000000000004,0.67452000000000001,1.32568,1.5651200000000001,28.09,71.867999999999995,118.29600000000001,162.84614640000001,0,1.0680000000000001,1.4239999999999999,3.1280000000000001,0,2.3999999999999999,3.2000000000000002,10.4,0,0,0,0,0,-2,-2.3999999999999999,-3.2000000000000002,0,-0.048000000000000001,-0.064000000000000001,0.192,0,-7.2000000000000002,-9.5999999999999996,-13.765688000000001,3.98299,5.2489499999999998,5.2251799999999999,0.42346800000000001,0,0.42346826399999998,1367.1400000000001,573.24400000000003,0.40770000000000001,0,0,0.40770000000000001,1316.23,1406.04
mofsimplify_thermal_train_00008_VOGPEO,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,8,VOGPEO,258.432478,127.89879999999999,244.928,456.1952,525.63199999999995,2338,4480,4832,6016,14,32,48,64,80,192,256,320,10.4436,25.111999999999998,34.054400000000001,43.099200000000003,3.6099999999999999,26.143999999999998,19.379999999999999,45.524000000000001,841,928,696,1624,1,4,4,8,16,32,48,80,1.9044000000000001,4.0296000000000003,4.2504,8.2799999999999994,0,-6.1600000000000001,-2.6000000000000001,-8.7599999999999998,0,84,92,176,0,0,0,0,0,8,4,12,0,2.6000000000000001,2.4399999999999999,5.04,331.23923330000002,642.39599999999996,1046.1460669999999,1350.752,1568.333333,3060,4794.6666670000004,5416,44.666666669999998,94,150,204,244,618,929.33333330000005,1122.666667,21.434866670000002,49.120866669999998,75.7286,94.586799999999997,11.833600000000001,8.7720000000000002,20.605599999999999,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.53290000000000004,0.56210000000000004,1.095,1.1242000000000001,28.09,59.890000000000001,87.980000000000004,119.78,0,0.89000000000000001,0.89000000000000001,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.040000000000000001,-0.040000000000000001,-0.080000000000000002,0,-6,-6,-12,11.833600000000001,8.7720000000000002,20.605599999999999,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.53290000000000004,0.56210000000000004,1.095,1.1242000000000001,28.09,59.890000000000001,87.980000000000004,119.78,0,0.89000000000000001,0.89000000000000001,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.040000000000000001,-0.040000000000000001,-0.080000000000000002,0,-6,-6,-12,6.9863200000000001,11.03919,11.026389999999999,0.81173099999999998,0,0.81173105899999998,2565.98,4850.54,0.62270000000000003,0,0,0.62270000000000003,1968.4300000000001,7789.5200000000004
mofsimplify_thermal_train_00009_TONLOY,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,9,TONLOY,263.69399579999998,252.06450000000001,461.7414,703.62959999999998,1083.6096,8238,10440,13326,9078,33,66,96,138,162,396,510,522,23.815799999999999,50.447400000000002,74.782799999999995,85.611000000000004,2.8561000000000001,21.9024,25.856999999999999,55.195399999999999,2304,1440,1728,3264,1,4,6,12,16,40,72,120,2.1903999999999999,4.3807999999999998,6.8376000000000001,12.313599999999999,0,-6.2000000000000002,-5.1600000000000001,-12.380000000000001,0,162,252,508,0,0,0,0,0,6,6,18,0,2.96,4.2599999999999998,9.4399999999999995,220.41079999999999,450.89100000000002,764.81479999999999,889.04079999999999,896,1872,2708,2452,32,66,112,136,178,446,608,606,13.139200000000001,31.184999999999999,46.938400000000001,49.602400000000003,10.537599999999999,12.138,26.019600000000001,28.415600000000001,56.5,66,126,105.5,1,1.5,3,3.5,2.5,7.5,12.5,13,0.54769999999999996,0.85855000000000004,1.5449999999999999,1.54115,41.424999999999997,113.565,171.66630699999999,167.07899,0,0.93500000000000005,1.355,2.3500000000000001,0,2,5,11.5,0,0,0,0,0,-2,-2.5,-2.5,0,-0.040000000000000001,0.14999999999999999,0.52000000000000002,0,-6.9000000000000004,-5.4535549999999997,-2.7106650000000001,10.537599999999999,16.013999999999999,36.583599999999997,35.1036,56.5,87,154,112.5,1,2,4.5,4.5,5,16.5,25,19.5,0.54769999999999996,1.1473,2.1112500000000001,1.8186500000000001,41.424999999999997,155.375,246.82892100000001,200.43160399999999,0,1.1799999999999999,2.4399999999999999,3.1899999999999999,0,2.5,11.5,17.5,0,0,0,0,0,-1.5,1.5,2,0,-0.050000000000000003,0.52000000000000002,0.90000000000000002,0,-8.8499999999999996,-4.5106650000000004,0.182225,6.9257900000000001,7.4209399999999999,7.4209399999999999,0.15613099999999999,0,0.15613097200000001,470.36700000000002,604.59199999999998,0.23569999999999999,0,0,0.23569999999999999,710.08100000000002,2565.0900000000001
mofsimplify_thermal_train_00010_FATVOM,train,train,MOFSimplify-main/model/thermal/ANN/train.csv,10,FATVOM,255.6586375,142.22229999999999,268.81599999999997,394.69159999999999,403.952,2416,4508,4496,2992,17,36,46,48,90,216,228,176,12.281499999999999,27.594000000000001,33.403799999999997,28.885200000000001,3.6099999999999999,25.384,19.379999999999999,34.276000000000003,841,899,696,986,1,4,4,7,16,36,48,64,1.9044000000000001,4.0571999999999999,4.2504,6.2789999999999999,0,-5.7599999999999998,-2.6000000000000001,-4.7400000000000002,0,85,92,169,0,0,0,0,0,7,4,12,0,2.5800000000000001,2.4399999999999999,5.1100000000000003,133.13614999999999,262.39499999999998,402.93279999999999,460.75749999999999,588.5,1170,1648,1666,19,39,59,71,98,237,323,341,8.5466999999999995,19.488700000000001,27.749099999999999,30.305900000000001,10.537599999999999,12.138,24.742799999999999,19.335999999999999,56.5,66,105,76,1,1.5,3,2.5,2.5,7.5,10,8,0.54769999999999996,0.85855000000000004,1.4025000000000001,1.12835,41.424999999999997,113.565,160.962614,135.05261400000001,0,0.93500000000000005,1.7749999999999999,1.9750000000000001,0,2,8,8.5,0,0,0,0,0,-2,-1,-1.5,0,-0.040000000000000001,0.34000000000000002,0.33000000000000002,0,-6.9000000000000004,-4.0071099999999999,-5.0571099999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0358000000000001,4.5366900000000001,4.5366900000000001,0.12885099999999999,0,0.12885098,289.58999999999997,209.852,0.2059,0,0,0.2059,462.75599999999997,1019.2
