seed,alpha,beta,gamma,delta,diversity_distance_scale,risk_budget_per_item,cost_budget_per_item,primary_policy_mode,calibration_group_count,sampled_group_occurrences,subset_row_count,unique_candidate_count,selected_count,selected_unique_count,selected_ids,equivalent_top_config_count,full_batch,selected_tuple_frequency,full_batch_frequency,duplicate_selected_candidate_present
0,1.0,0.3,0.35,0.2,2.0,,2.3989165637663223,cost_only,77,109,127,90,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_val_00012_ATIJUJ",1,True,0.05,1.0,False
1,1.0,0.3,0.2,0.0,2.0,,2.3989165637663223,cost_only,80,109,129,96,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_val_00065_EPECIN",1,True,0.05,1.0,False
2,1.0,0.3,0.35,0.1,2.0,,2.3989165637663223,cost_only,75,109,123,84,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00284_QANSUV,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00360_UMIGAA,mofsimplify_solvent_test_00193_KUTRUO",1,True,0.1,1.0,False
3,1.0,0.3,0.2,0.1,2.0,,2.3989165637663223,cost_only,73,109,131,86,5,5,"mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_val_00021_BAZGEQ,mofsimplify_solvent_test_00284_QANSUV,mofsimplify_solvent_val_00065_EPECIN",1,True,0.05,1.0,False
4,1.0,0.0,0.35,0.2,2.0,,2.3989165637663223,cost_only,76,109,126,87,5,5,"mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_test_00193_KUTRUO,mofsimplify_solvent_val_00140_KAWHEY,mofsimplify_solvent_test_00025_BAZGAM,mofsimplify_solvent_test_00303_QULMIU",1,True,0.1,1.0,False
5,1.0,0.15,0.35,0.0,2.0,,2.3989165637663223,cost_only,74,109,122,84,5,3,"mofsimplify_solvent_test_00262_OPOZEZ,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_test_00303_QULMIU",2,True,0.1,1.0,True
6,1.0,0.0,0.1,0.0,2.0,,2.3989165637663223,cost_only,71,109,121,81,5,4,"mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00168_KARTAA,mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00301_QUGZEZ",2,True,0.05,1.0,True
7,1.0,0.15,0.35,0.0,2.0,,2.3989165637663223,cost_only,78,109,128,93,5,3,"mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_test_00009_ANAWOD",2,True,0.1,1.0,True
8,1.0,0.0,0.35,0.0,2.0,,2.3989165637663223,cost_only,74,109,124,85,5,4,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_test_00303_QULMIU",1,True,0.1,1.0,True
9,1.0,0.3,0.35,0.1,2.0,,2.3989165637663223,cost_only,73,109,122,83,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00284_QANSUV,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00009_ANAWOD,mofsimplify_solvent_test_00193_KUTRUO",1,True,0.1,1.0,False
10,1.0,0.0,0.2,0.0,2.0,,2.3989165637663223,cost_only,71,109,126,81,5,4,"mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00422_YOTROQ,mofsimplify_solvent_val_00065_EPECIN",3,True,0.05,1.0,True
11,1.0,0.3,0.35,0.0,2.0,,2.3989165637663223,cost_only,73,109,126,87,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00262_OPOZEZ,mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_val_00065_EPECIN",1,True,0.25,1.0,False
12,1.0,0.3,0.35,0.0,2.0,,2.3989165637663223,cost_only,77,109,124,87,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00342_TOHYUL,mofsimplify_solvent_test_00009_ANAWOD",3,True,0.25,1.0,False
13,1.0,0.3,0.35,0.0,2.0,,2.3989165637663223,cost_only,73,109,125,86,5,4,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_val_00065_EPECIN",1,True,0.25,1.0,True
14,1.0,0.3,0.1,0.0,2.0,,2.3989165637663223,cost_only,78,109,126,91,5,3,"mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_val_00129_JALCAD",5,True,0.1,1.0,True
15,1.0,0.3,0.35,0.0,2.0,,2.3989165637663223,cost_only,73,109,120,82,5,4,"mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00284_QANSUV,mofsimplify_solvent_test_00284_QANSUV,mofsimplify_solvent_test_00418_YEKXET,mofsimplify_solvent_test_00422_YOTROQ",1,True,0.25,1.0,True
16,1.0,0.3,0.1,0.0,2.0,,2.3989165637663223,cost_only,75,109,130,88,5,3,"mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00168_KARTAA,mofsimplify_solvent_test_00168_KARTAA,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_val_00129_JALCAD",1,True,0.1,1.0,True
17,1.0,0.3,0.35,0.0,2.0,,2.3989165637663223,cost_only,82,109,129,96,5,3,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00303_QULMIU",1,True,0.25,1.0,True
18,1.0,0.0,0.35,0.0,2.0,,2.3989165637663223,cost_only,75,109,123,87,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00262_OPOZEZ,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00303_QULMIU",2,True,0.1,1.0,False
19,1.0,0.0,0.35,0.2,2.0,,2.3989165637663223,cost_only,72,109,118,78,5,5,"mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_test_00284_QANSUV,mofsimplify_solvent_val_00021_BAZGEQ,mofsimplify_solvent_val_00286_UNEBIZ",3,True,0.1,1.0,False
