candidate_id,raw_refcode,source_doi,original_model_split,final_evaluation_split,exclusion_reason
mofsimplify_solvent_val_00001_ABEXUC,ABEXUC,10.1021/ic201013v,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00002_ABEYIR,ABEYIR,10.1021/ic201013v,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00003_CAKYIY,CAKYIY,10.1021/ic201013v,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00005_AHOJUC,AHOJUC,10.1021/cm0112845,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00006_AMIMAL,AMIMAL,10.1039/c0dt00999g,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00008_ANUGIA,ANUGIA,10.1021/ja107423k,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00011_ATICAH,ATICAH,10.1039/b314221c,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00015_AXUHEH,AXUHEH,10.1021/cg2006315,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00016_AXUHIL,AXUHIL,10.1021/cg2006315,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00018_BAKJOO,BAKJOO,10.1039/c1dt10901d,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00020_ICAROV,ICAROV,10.1002/chem.201101383,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00022_BEFMUW,BEFMUW,10.1038/41937,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00024_BETGIS,BETGIS,10.1039/C3CE27063G,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00025_BETGOY,BETGOY,10.1039/C3CE27063G,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00029_BONWIL,BONWIL,10.1002/chem.200801948,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00036_CUKXIR,CUKXIR,10.1021/acs.inorgchem.5b00180,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00037_CUWNOZ,CUWNOZ,10.1021/acs.inorgchem.5b01850,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00040_DAWCIP,DAWCIP,10.1021/cg201552g,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00042_DIMKUH,DIMKUH,10.1021/cg4009587,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00045_DOYHOQ,DOYHOQ,10.1021/cg501828u,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00049_DUFZUA,DUFZUA,10.1039/b821496d,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00053_EBAVUB,EBAVUB,10.1021/acs.cgd.6b01352,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00054_EBAWIQ,EBAWIQ,10.1021/acs.cgd.6b01352,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00064_ENITOL,ENITOL,10.1021/cg1008768,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00068_EVUMUE,EVUMUE,10.1021/cg1015753,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00069_EVUNAL,EVUNAL,10.1021/cg1015753,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00070_EVUQOC,EVUQOC,10.1021/cg200350j,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00071_EVUQUI,EVUQUI,10.1021/cg200350j,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00074_FARFIO,FARFIO,10.1021/ja046478a,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00075_FARFOU,FARFOU,10.1021/ja046478a,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00077_FAWCEN01,FAWCEN01,10.1021/jp303907p,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00078_FECZAQ,FECZAQ,10.1039/c2jm15933c,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00079_FERWAC,FERWAC,10.1002/chem.201203559,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00080_FEWQIJ,FEWQIJ,10.1002/asia.201300250,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00083_FIRMUQ,FIRMUQ,10.1038/srep03312,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00087_GAJYUN,GAJYUN,10.1039/b9nj00456d,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00088_GAJZOI,GAJZOI,10.1039/b9nj00456d,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00091_GAXWAF,GAXWAF,10.1039/c2ce25440a,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00093_GIQYAH,GIQYAH,10.1021/ic0621695,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00094_GIQYIP,GIQYIP,10.1021/ic0621695,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00095_GIRYEN,GIRYEN,10.1039/C3CC49106D,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00096_GIRYOX,GIRYOX,10.1039/C3CC49106D,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00105_HEFFAB,HEFFAB,10.1002/anie.201203594,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00106_HEGNOX,HEGNOX,10.1021/cm052859r,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00110_IFEQAN,IFEQAN,10.1021/ja401671p,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00113_IJASES01,IJASES01,10.1021/cg400531j,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00114_KINDIW,KINDIW,10.1021/cg400531j,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00123_UJOJEK,UJOJEK,10.1021/acs.inorgchem.5b02956,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00124_UJOJIO02,UJOJIO02,10.1021/acs.inorgchem.5b02956,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00125_UJOJIO03,UJOJIO03,10.1021/acs.inorgchem.5b02956,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00126_UJOJIO04,UJOJIO04,10.1021/acs.inorgchem.5b02956,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00127_UJOJIO,UJOJIO,10.1021/acs.inorgchem.5b02956,calibration,excluded_train_source_overlap,source DOI group also present in training
