C,mean_train_cv_roc_auc,sd_train_cv_roc_auc,mean_train_cv_brier,sd_train_cv_brier,fold_n_iter_values,mean_n_iter,max_n_iter,all_folds_converged,training_doi_group_count,cv_splitter,random_state,n_splits,solver,max_iter,tol,selected_one_standard_error,within_one_standard_error
1000,0.55692351987417799,0.076697787990755273,0.30404938109236718,0.035780537709426033,"[7495,7264,8028,6526,6856]",7233.8000000000002,8028,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
0.001,0.55666313767146836,0.051536453673458382,0.24717882141646785,0.0041902365081866342,"[19,20,21,20,20]",20,21,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,True,True
0.0030000000000000001,0.55449639063608891,0.060468521281364221,0.24801124430598911,0.0067320555263154754,"[27,29,30,28,28]",28.399999999999999,30,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
300,0.55377578335325151,0.082199496223823207,0.30188641870626542,0.035421341392497578,"[4141,4300,4428,4137,4695]",4340.1999999999998,4695,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
100,0.55129026043840912,0.08518376592971004,0.29829366895274501,0.035914799586835369,"[2762,2606,2731,2793,2585]",2695.4000000000001,2793,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
3,0.55072844026810897,0.081701099409056482,0.27628091726012705,0.028341409451629052,"[579,587,568,548,570]",570.39999999999998,587,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
30,0.55018572229826368,0.086343076737968316,0.29254567627538347,0.035491624983933615,"[1639,1513,1631,1590,1627]",1600,1639,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
10,0.54873362899807743,0.084507437446407221,0.28470268163765278,0.032898400067728983,"[966,1006,977,929,971]",969.79999999999995,1006,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
0.01,0.54789758992821169,0.066669854594427549,0.25185816838152431,0.0093070313020320629,"[46,46,43,42,42]",43.799999999999997,46,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
1,0.54580791465672684,0.078047851024227274,0.27127306119304223,0.023068069609852995,"[355,362,343,347,347]",350.80000000000001,362,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
0.029999999999999999,0.54482554338264211,0.070137721368262809,0.25722397575754818,0.012324160875542672,"[73,70,72,70,70]",71,73,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
0.10000000000000001,0.54274296003821942,0.07017668603769929,0.26271270506277683,0.015150587758473649,"[118,128,127,123,122]",123.59999999999999,128,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
0.29999999999999999,0.54215923703747815,0.074072549533177823,0.26711546088861138,0.018282531217970962,"[209,208,197,199,211]",204.80000000000001,211,True,865,StratifiedGroupKFold,45,5,lbfgs,20000,9.9999999999999995e-07,False,True
