seed,alpha,beta,gamma,delta,diversity_distance_scale,risk_budget_per_item,cost_budget_per_item,primary_policy_mode,calibration_group_count,sampled_group_occurrences,subset_row_count,unique_candidate_count,selected_count,selected_unique_count,selected_ids,equivalent_top_config_count,full_batch,selected_tuple_frequency,full_batch_frequency,sampling_fraction,sampling_with_replacement,duplicate_selected_candidate_present
0,1.0,0.0,0.35,0.0,2.0,,2.3989165637663223,cost_only,109,109,123,123,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_test_00262_OPOZEZ,mofsimplify_solvent_test_00303_QULMIU",1,True,0.1,1.0,0.8,False,False
1,1.0,0.3,0.35,0.0,2.0,,2.3989165637663223,cost_only,109,109,127,127,5,5,"mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00342_TOHYUL,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00193_KUTRUO",1,True,0.3,1.0,0.8,False,False
2,1.0,0.0,0.2,0.0,2.0,,2.3989165637663223,cost_only,109,109,126,126,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00168_KARTAA,mofsimplify_solvent_test_00284_QANSUV",1,True,0.1,1.0,0.8,False,False
3,1.0,0.3,0.35,0.0,2.0,,2.3989165637663223,cost_only,109,109,123,123,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00009_ANAWOD",3,True,0.3,1.0,0.8,False,False
4,1.0,0.15,0.35,0.0,2.0,,2.3989165637663223,cost_only,109,109,127,127,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00303_QULMIU",1,True,0.15,1.0,0.8,False,False
5,1.0,0.15,0.35,0.0,2.0,,2.3989165637663223,cost_only,109,109,128,128,5,5,"mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00262_OPOZEZ,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00303_QULMIU",1,True,0.15,1.0,0.8,False,False
6,1.0,0.3,0.35,0.0,2.0,,2.3989165637663223,cost_only,109,109,125,125,5,5,"mofsimplify_solvent_test_00262_OPOZEZ,mofsimplify_solvent_test_00303_QULMIU,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00009_ANAWOD,mofsimplify_solvent_test_00193_KUTRUO",1,True,0.3,1.0,0.8,False,False
7,1.0,0.3,0.35,0.0,2.0,,2.3989165637663223,cost_only,109,109,127,127,5,5,"mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_test_00262_OPOZEZ,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00009_ANAWOD",2,True,0.3,1.0,0.8,False,False
8,1.0,0.0,0.2,0.0,2.0,,2.3989165637663223,cost_only,109,109,124,124,5,5,"mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00129_JALCAD,mofsimplify_solvent_val_00065_EPECIN",5,True,0.1,1.0,0.8,False,False
9,1.0,0.0,0.35,0.0,2.0,,2.3989165637663223,cost_only,109,109,128,128,5,5,"mofsimplify_solvent_test_00353_UBULIO,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_val_00065_EPECIN,mofsimplify_solvent_test_00303_QULMIU",1,True,0.1,1.0,0.8,False,False
10,1.0,0.0,0.1,0.0,2.0,,2.3989165637663223,cost_only,109,109,127,127,5,5,"mofsimplify_solvent_val_00028_BOLZIN,mofsimplify_solvent_test_00260_OPIFUQ,mofsimplify_solvent_test_00168_KARTAA,mofsimplify_solvent_test_00301_QUGZEZ,mofsimplify_solvent_val_00129_JALCAD",8,True,0.05,1.0,0.8,False,False
