bootstrap_seed,alpha,beta,gamma,delta,diversity_distance_scale,risk_budget_per_item,cost_budget_per_item,primary_policy_mode,calibration_group_count,equivalent_top_config_count,full_batch,selected_tuple_frequency,full_batch_frequency
0,1,0.29999999999999999,0.34999999999999998,0.20000000000000001,2,,2.3989165637663223,cost_only,77,1,True,0.050000000000000003,1
1,1,0.29999999999999999,0.20000000000000001,0,2,,2.3989165637663223,cost_only,80,1,True,0.050000000000000003,1
2,1,0.29999999999999999,0.34999999999999998,0.10000000000000001,2,,2.3989165637663223,cost_only,75,1,True,0.10000000000000001,1
3,1,0.29999999999999999,0.20000000000000001,0.10000000000000001,2,,2.3989165637663223,cost_only,73,1,True,0.050000000000000003,1
4,1,0,0.34999999999999998,0.20000000000000001,2,,2.3989165637663223,cost_only,76,1,True,0.10000000000000001,1
5,1,0.14999999999999999,0.34999999999999998,0,2,,2.3989165637663223,cost_only,74,2,True,0.10000000000000001,1
6,1,0,0.10000000000000001,0,2,,2.3989165637663223,cost_only,71,2,True,0.050000000000000003,1
7,1,0.14999999999999999,0.34999999999999998,0,2,,2.3989165637663223,cost_only,78,2,True,0.10000000000000001,1
8,1,0,0.34999999999999998,0,2,,2.3989165637663223,cost_only,74,1,True,0.10000000000000001,1
9,1,0.29999999999999999,0.34999999999999998,0.10000000000000001,2,,2.3989165637663223,cost_only,73,1,True,0.10000000000000001,1
10,1,0,0.20000000000000001,0,2,,2.3989165637663223,cost_only,71,3,True,0.050000000000000003,1
11,1,0.29999999999999999,0.34999999999999998,0,2,,2.3989165637663223,cost_only,73,1,True,0.25,1
12,1,0.29999999999999999,0.34999999999999998,0,2,,2.3989165637663223,cost_only,77,3,True,0.25,1
13,1,0.29999999999999999,0.34999999999999998,0,2,,2.3989165637663223,cost_only,73,1,True,0.25,1
14,1,0.29999999999999999,0.10000000000000001,0,2,,2.3989165637663223,cost_only,78,5,True,0.10000000000000001,1
15,1,0.29999999999999999,0.34999999999999998,0,2,,2.3989165637663223,cost_only,73,1,True,0.25,1
16,1,0.29999999999999999,0.10000000000000001,0,2,,2.3989165637663223,cost_only,75,1,True,0.10000000000000001,1
17,1,0.29999999999999999,0.34999999999999998,0,2,,2.3989165637663223,cost_only,82,1,True,0.25,1
18,1,0,0.34999999999999998,0,2,,2.3989165637663223,cost_only,75,2,True,0.10000000000000001,1
19,1,0,0.34999999999999998,0.20000000000000001,2,,2.3989165637663223,cost_only,72,3,True,0.10000000000000001,1
