method,batch_size,n_records,n_pools,mean_selected_count,mean_hits,sd_hits,mean_hit_fraction,sd_hit_fraction,mean_proxy_cost_normalized_yield,mean_jaccard_to_full_test,full_batch_rate,policy_contract,risk_contract
cost_aware,5,20,20,5,3.1000000000000001,0.85224162622679034,0.62,0.17044832524535805,0.44793785000000003,0.33869047619047621,1,cost_only,none
cost_aware,10,20,20,10,6.0499999999999998,1.394538218230416,0.60499999999999998,0.13945382182304161,0.43587594999999996,0.3244747899159664,1,cost_only,none
cost_aware,20,20,20,20,11.6,1.6982963599783722,0.57999999999999996,0.084914817998918632,0.40608234999999998,0.35471617147662426,1,cost_only,none
portfolio_batch,5,20,20,5,3.0499999999999998,0.68633274115325971,0.60999999999999999,0.13726654823065193,0.35880070000000003,0.37142857142857139,1,cost_only,none
portfolio_batch,10,20,20,10,5.75,1.2085223687584248,0.57499999999999996,0.12085223687584244,0.35333175,0.3546398046398046,1,cost_only,none
portfolio_batch,20,20,20,20,11.75,1.9159991209755154,0.58750000000000002,0.095799956048775711,0.37041344999999998,0.34924658417428162,1,cost_only,none
random_baseline,5,200,20,4.9900000000000002,2.9700000000000002,1.0746508139201758,0.59550000000000003,0.21601635430363411,0.35671600499999995,0.0095833333333333326,0.98999999999999999,cost_only,none
random_baseline,10,200,20,10,6.1349999999999998,1.5126850565805194,0.61350000000000005,0.15126850565805203,0.36948479999999995,0.027519779841761266,1,cost_only,none
random_baseline,20,200,20,20,11.949999999999999,2.1331317953378801,0.59750000000000003,0.10665658976689392,0.35680715999999996,0.056041750252276569,1,cost_only,none
top_score,5,20,20,5,3.25,0.91046546800032602,0.65000000000000002,0.1820930936000652,0.32515080000000002,0.35892857142857137,1,cost_only,none
top_score,10,20,20,10,5.5,1.3572417850765925,0.55000000000000004,0.13572417850765925,0.27850415000000001,0.3331878905408317,1,cost_only,none
top_score,20,20,20,20,10.85,2.1588252165910684,0.54249999999999998,0.1079412608295534,0.29954785,0.3176245438119743,1,cost_only,none
uncertainty,5,20,20,5,4.0999999999999996,0.64072327551718744,0.82000000000000006,0.1281446551034375,0.55557859999999992,0.30992063492063493,1,cost_only,none
uncertainty,10,20,20,10,8.5500000000000007,0.75915465451624831,0.85500000000000009,0.075915465451624808,0.57193234999999998,0.34460245636716225,1,cost_only,none
uncertainty,20,20,20,20,14.75,1.6819474927657678,0.73750000000000004,0.084097374638288411,0.49072190000000004,0.33123884777110579,1,cost_only,none
