method,batch_size,n_records,n_pools,mean_selected_count,mean_hits,sd_hits,mean_hit_fraction,sd_hit_fraction,mean_proxy_cost_normalized_yield,mean_jaccard_to_full_test,full_batch_rate
cost_aware,5,20,20,2,1.6000000000000001,0.59824304161611863,0.80000000000000004,0.29912152080805932,0.58564040000000006,0.36666666666666664,0
cost_aware,10,20,20,4.9500000000000002,3.1000000000000001,0.85224162622679045,0.63,0.1866604008973459,0.42679049999999996,0.32440476190476192,0
cost_aware,20,20,20,9,5.4500000000000002,1.356271980175999,0.60555570000000003,0.15069709494566633,0.4381292,0.31789835164835167,0
portfolio_batch,5,20,20,2,1.8,0.41039134083406176,0.90000000000000002,0.20519567041703088,0.45499144999999996,0.53333333333333333,0
portfolio_batch,10,20,20,5,2.7999999999999998,0.76777189594991446,0.55999999999999994,0.15355437918998288,0.29544150000000002,0.37976190476190474,0
portfolio_batch,20,20,20,10,5.0999999999999996,1.4832396974191326,0.51000000000000001,0.14832396974191325,0.2891454,0.33569287330316744,0
random_baseline,5,200,20,2,1.24,0.71058048320762224,0.62,0.35529024160381112,0.37729475499999998,0.0066666666666666662,0
random_baseline,10,200,20,4.2199999999999998,2.6600000000000001,1.0047125141954314,0.63075000000000003,0.23039607037931686,0.37817858500000001,0.0066666666666666662,0
random_baseline,20,200,20,9.0050000000000008,5.3499999999999996,1.4725290178949659,0.59400012999999996,0.16292996909506766,0.356973445,0.024161764705882351,0
top_score,5,20,20,2,1.8,0.41039134083406176,0.90000000000000002,0.20519567041703088,0.45430115000000004,0.53333333333333333,0
top_score,10,20,20,5,3.25,0.91046546800032602,0.65000000000000002,0.1820930936000652,0.32515080000000002,0.35892857142857137,0
top_score,20,20,20,10,5.5,1.3572417850765925,0.55000000000000004,0.13572417850765925,0.27850415000000001,0.36531579939668174,0
uncertainty,5,20,20,2,1.6000000000000001,0.50262468995003462,0.80000000000000004,0.25131234497501731,0.54185990000000006,0.36666666666666664,0
uncertainty,10,20,20,4,3.1499999999999999,0.5871429486123998,0.78749999999999998,0.14678573715309995,0.53454210000000002,0.33571428571428569,0
uncertainty,20,20,20,9,7.7000000000000002,0.80131470918603176,0.85555570000000003,0.089034878652369198,0.57482705000000001,0.32782592407592409,0
