seed,method,batch_size,risk_budget_per_item,cost_budget_per_item,selected_candidate_ids,full_batch,full_batch_status,selection_event_count,stop_event_count,selected_count,hits,hit_fraction,total_proxy_cost,proxy_cost_normalized_yield,risk_used,mean_predicted_success
0,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00327_SERWAP"",""mofsimplify_solvent_test_00152_IMEDOV""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.6127660000000001,0.27679599999999999,1.387545,0.58141699999999996
1,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00037_BUSQEM"",""mofsimplify_solvent_test_00054_COTVUE""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.9462600000000001,0.33941300000000002,1.5342610000000001,0.46095000000000003
2,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00316_RIWMUH"",""mofsimplify_solvent_val_00269_TEYLIU""]",False,stopped_before_requested_batch,2,1,2,2,1,3.0852780000000002,0.64824000000000004,1.4721660000000001,0.52226600000000001
3,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00288_QERWAL"",""mofsimplify_solvent_val_00099_GUKFEY""]",False,stopped_before_requested_batch,2,1,2,0,0,3.373424,0,1.5056259999999999,0.492232
4,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00226_MUTNAQ"",""mofsimplify_solvent_test_00394_XADDUD""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.1147749999999998,0.32105,1.470126,0.52487300000000003
5,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00188_KOMGUP"",""mofsimplify_solvent_test_00283_QAKFIU""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.043955,0.32851999999999998,1.5245029999999999,0.47346300000000002
6,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00016_AVIPOL"",""mofsimplify_solvent_test_00075_EBIJAC""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.7546179999999998,0.36302699999999999,1.4588289999999999,0.53648300000000004
7,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00394_XADDUD"",""mofsimplify_solvent_test_00142_HUWLUI""]",False,stopped_before_requested_batch,2,1,2,0,0,4.4684900000000001,0,1.477071,0.51721399999999995
8,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00221_MOYYIJ"",""mofsimplify_solvent_val_00315_WURNOO""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.9470170000000002,0.33932600000000002,1.469061,0.528304
9,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00008_AMOYOR"",""mofsimplify_solvent_test_00352_UBOGAV""]",False,stopped_before_requested_batch,2,1,2,2,1,2.9802070000000001,0.67109399999999997,1.530721,0.465723
10,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00257_OKUSUK"",""mofsimplify_solvent_test_00407_XOGXAU""]",False,stopped_before_requested_batch,2,1,2,0,0,3.5740769999999999,0,1.34545,0.61141599999999996
11,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00150_KOMHAW"",""mofsimplify_solvent_val_00149_KIYJAF""]",False,stopped_before_requested_batch,2,1,2,2,1,2.9032269999999998,0.68888899999999997,1.516961,0.48152299999999998
12,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00138_HOVGIK"",""mofsimplify_solvent_val_00261_SIYXIH10""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.8675709999999999,0.34872700000000001,1.458577,0.53425999999999996
13,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00361_UQOWUU"",""mofsimplify_solvent_test_00335_TACJIS""]",False,stopped_before_requested_batch,2,1,2,2,1,3.903432,0.51236999999999999,1.4639880000000001,0.53262600000000004
14,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00171_MAPHAP"",""mofsimplify_solvent_test_00306_RAHMAP""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.9593289999999999,0.33791399999999999,1.5154080000000001,0.48272900000000002
15,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00387_WOHZAU"",""mofsimplify_solvent_test_00201_LIFSEA""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.400239,0.294097,1.432633,0.555037
16,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00073_DUPVER"",""mofsimplify_solvent_test_00094_EXEWIO""]",False,stopped_before_requested_batch,2,1,2,2,1,2.837723,0.70479000000000003,1.5172760000000001,0.47986699999999999
17,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00238_NEGZUW"",""mofsimplify_solvent_test_00326_SEGBIR""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.117597,0.32075999999999999,1.507417,0.48963499999999999
18,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00361_UQOWUU"",""mofsimplify_solvent_val_00348_ZUQMAB""]",False,stopped_before_requested_batch,2,1,2,2,1,3.307051,0.60476799999999997,1.456135,0.53935299999999997
19,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00105_FUYCIN"",""mofsimplify_solvent_test_00006_AGUWUV""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.127246,0.31977,1.4944299999999999,0.50548199999999999
20,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00361_UQOWUU"",""mofsimplify_solvent_val_00278_UDEPIE""]",False,stopped_before_requested_batch,2,1,2,2,1,3.8198970000000001,0.52357399999999998,1.498642,0.49445499999999998
21,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00294_VAYWEZ"",""mofsimplify_solvent_test_00258_OKUTAR""]",False,stopped_before_requested_batch,2,1,2,0,0,3.7827549999999999,0,1.4611369999999999,0.52340500000000001
22,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00253_OGECOU"",""mofsimplify_solvent_val_00335_YEKXUJ""]",False,stopped_before_requested_batch,2,1,2,2,1,3.3473099999999998,0.597495,1.4790859999999999,0.51946400000000004
23,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00048_DUDZOT"",""mofsimplify_solvent_test_00206_LUYSEF""]",False,stopped_before_requested_batch,2,1,2,2,1,3.1185320000000001,0.64132699999999998,1.4970330000000001,0.50292000000000003
24,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00343_ZAHLEC"",""mofsimplify_solvent_val_00316_WUSLED""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.6909239999999999,0.27093499999999998,1.5181389999999999,0.47957300000000003
25,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00052_COTVIS"",""mofsimplify_solvent_val_00174_MONQIR""]",False,stopped_before_requested_batch,2,1,2,2,1,3.330349,0.60053800000000002,1.502003,0.49766500000000002
26,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00335_TACJIS"",""mofsimplify_solvent_test_00041_CANYIB""]",False,stopped_before_requested_batch,2,1,2,2,1,3.8513679999999999,0.51929599999999998,1.4522379999999999,0.54165399999999997
27,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00013_AVIPAX"",""mofsimplify_solvent_test_00206_LUYSEF""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.9771540000000001,0.335891,1.478901,0.51902300000000001
28,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00186_KIYMIP"",""mofsimplify_solvent_test_00327_SERWAP""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.1272310000000001,0.319772,1.3969689999999999,0.57247899999999996
29,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00388_WOJJOV"",""mofsimplify_solvent_val_00059_EDIKIL""]",False,stopped_before_requested_batch,2,1,2,2,1,3.1692230000000001,0.63106899999999999,1.4983580000000001,0.49816300000000002
30,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00118_IPIHIA"",""mofsimplify_solvent_val_00258_SENVIR""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.9665750000000002,0.33708900000000003,1.46485,0.52764699999999998
31,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00077_EJAXIW"",""mofsimplify_solvent_test_00371_VEHPUU""]",False,stopped_before_requested_batch,2,1,2,0,0,2.9222389999999998,0,1.531657,0.464667
32,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00356_ULASAD"",""mofsimplify_solvent_val_00174_MONQIR""]",False,stopped_before_requested_batch,2,1,2,2,1,3.616412,0.55303400000000003,1.5362279999999999,0.40295199999999998
33,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00356_ULASAD"",""mofsimplify_solvent_test_00016_AVIPOL""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.3519380000000001,0.29833500000000002,1.5301290000000001,0.40860099999999999
34,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00081_FIFNUE"",""mofsimplify_solvent_val_00013_AVIPAX""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.9684659999999998,0.33687400000000001,1.51431,0.46927400000000002
35,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00107_HIMSAY"",""mofsimplify_solvent_val_00319_XADDOX""]",False,stopped_before_requested_batch,2,1,2,0,0,2.8793150000000001,0,1.490623,0.50441000000000003
36,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00343_ZAHLEC"",""mofsimplify_solvent_val_00184_NEXVET""]",False,stopped_before_requested_batch,2,1,2,0,0,3.21224,0,1.467814,0.52760600000000002
37,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00174_MONQIR"",""mofsimplify_solvent_test_00217_MIBMER""]",False,stopped_before_requested_batch,2,1,2,2,1,3.1540089999999998,0.63411399999999996,1.4683349999999999,0.52820199999999995
38,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00261_SIYXIH10"",""mofsimplify_solvent_test_00041_CANYIB""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.5238520000000002,0.28377999999999998,1.421753,0.56569499999999995
39,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00414_YARBAW"",""mofsimplify_solvent_test_00045_CEFLEF""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.1324860000000001,0.31923499999999999,1.4889669999999999,0.50939699999999999
40,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00093_EWESAC"",""mofsimplify_solvent_test_00232_NALYEG""]",False,stopped_before_requested_batch,2,1,2,2,1,3.5767289999999998,0.55916999999999994,1.523461,0.46587699999999999
41,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00186_KIYMIP"",""mofsimplify_solvent_test_00407_XOGXAU""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.7848039999999998,0.35909200000000002,1.4622489999999999,0.53193599999999996
42,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00100_GUPBEZ02"",""mofsimplify_solvent_test_00257_OKUSUK""]",False,stopped_before_requested_batch,2,1,2,1,0.5,7.5864260000000003,0.13181399999999999,1.421549,0.52115699999999998
43,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00052_COTVIS"",""mofsimplify_solvent_test_00176_KEWBUL""]",False,stopped_before_requested_batch,2,1,2,2,1,3.164641,0.63198299999999996,1.499906,0.49964599999999998
44,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00186_KIYMIP"",""mofsimplify_solvent_val_00145_KILJEV""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.1929270000000001,0.31319200000000003,1.5271429999999999,0.46611799999999998
45,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00386_WODVOB"",""mofsimplify_solvent_test_00095_EYULOA""]",False,stopped_before_requested_batch,2,1,2,2,1,2.8249219999999999,0.70798399999999995,1.4671449999999999,0.53011799999999998
46,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00052_COTVIS"",""mofsimplify_solvent_test_00371_VEHPUU""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.0504549999999999,0.32782,1.52396,0.47345999999999999
47,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00102_HADQUA"",""mofsimplify_solvent_test_00238_NEGZUW""]",False,stopped_before_requested_batch,2,1,2,0,0,3.3864570000000001,0,1.457317,0.52720400000000001
48,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00150_KOMHAW"",""mofsimplify_solvent_val_00347_ZUKNAW""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.1309900000000002,0.31938800000000001,1.522357,0.475773
49,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00058_ECEZAO01"",""mofsimplify_solvent_val_00335_YEKXUJ""]",False,stopped_before_requested_batch,2,1,2,2,1,3.2432409999999998,0.61666699999999997,1.486416,0.51217900000000005
50,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00258_OKUTAR"",""mofsimplify_solvent_test_00264_OQETEK""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.5831050000000002,0.279088,1.4385250000000001,0.54899900000000001
51,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00344_ZALMIL"",""mofsimplify_solvent_test_00390_WORREC""]",False,stopped_before_requested_batch,2,1,2,2,1,2.9937860000000001,0.66805000000000003,1.5205299999999999,0.47716599999999998
52,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00412_XUWKEH"",""mofsimplify_solvent_test_00138_HOVGIK""]",False,stopped_before_requested_batch,2,1,2,2,1,3.2610139999999999,0.61330600000000002,1.539353,0.391204
53,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00246_OCAWAT"",""mofsimplify_solvent_val_00033_COJHIT""]",False,stopped_before_requested_batch,2,1,2,1,0.5,4.2051239999999996,0.23780499999999999,1.5125930000000001,0.48687000000000002
