figure_file,placement,source,regeneration_status
figures/Figure1_workflow.png,main,results/reproduction/tuning/v49_locked_parameters_before_test.json,regenerated by run_full_reproduction.py
figures/Figure1_workflow.pdf,main,results/reproduction/tuning/v49_locked_parameters_before_test.json,regenerated by run_full_reproduction.py
figures/Figure1_workflow.svg,main,results/reproduction/tuning/v49_locked_parameters_before_test.json,regenerated by run_full_reproduction.py
figures/Figure2_benchmark_boundary.png,main,results/reproduction/leakage_audit.json; results/reproduction/source_group_audit.json; results/reproduction/replay_summary.json; results/reproduction/activation_model_metrics.json,regenerated by run_full_reproduction.py
figures/Figure2_benchmark_boundary.pdf,main,results/reproduction/leakage_audit.json; results/reproduction/source_group_audit.json; results/reproduction/replay_summary.json; results/reproduction/activation_model_metrics.json,regenerated by run_full_reproduction.py
figures/Figure2_benchmark_boundary.svg,main,results/reproduction/leakage_audit.json; results/reproduction/source_group_audit.json; results/reproduction/replay_summary.json; results/reproduction/activation_model_metrics.json,regenerated by run_full_reproduction.py
figures/Figure3_policy_comparison.png,main,source_data/figure3_test_policy_primary_cost_source.csv; source_data/figure3_random_baseline_primary_cost_raw_points.csv; source_data/figure3_random_baseline_primary_cost_summary_source.csv; source_data/figure3_pool_resampling_primary_cost_raw_points.csv; source_data/figure3_pool_resampling_primary_cost_summary_source.csv,regenerated by run_full_reproduction.py
figures/Figure3_policy_comparison.pdf,main,source_data/figure3_test_policy_primary_cost_source.csv; source_data/figure3_random_baseline_primary_cost_raw_points.csv; source_data/figure3_random_baseline_primary_cost_summary_source.csv; source_data/figure3_pool_resampling_primary_cost_raw_points.csv; source_data/figure3_pool_resampling_primary_cost_summary_source.csv,regenerated by run_full_reproduction.py
figures/Figure3_policy_comparison.svg,main,source_data/figure3_test_policy_primary_cost_source.csv; source_data/figure3_random_baseline_primary_cost_raw_points.csv; source_data/figure3_random_baseline_primary_cost_summary_source.csv; source_data/figure3_pool_resampling_primary_cost_raw_points.csv; source_data/figure3_pool_resampling_primary_cost_summary_source.csv,regenerated by run_full_reproduction.py
figures/Figure4_descriptor_materials_analysis.png,main,source_data/figure4_pca_coordinates.csv; results/reproduction/descriptor_pca_variance.json; data/processed/full_public_stability_manifest_scored.csv; traces/action_traces/portfolio_batch_test_primary_cost_contract_trace.json,regenerated by run_full_reproduction.py
figures/Figure4_descriptor_materials_analysis.pdf,main,source_data/figure4_pca_coordinates.csv; results/reproduction/descriptor_pca_variance.json; data/processed/full_public_stability_manifest_scored.csv; traces/action_traces/portfolio_batch_test_primary_cost_contract_trace.json,regenerated by run_full_reproduction.py
figures/Figure4_descriptor_materials_analysis.svg,main,source_data/figure4_pca_coordinates.csv; results/reproduction/descriptor_pca_variance.json; data/processed/full_public_stability_manifest_scored.csv; traces/action_traces/portfolio_batch_test_primary_cost_contract_trace.json,regenerated by run_full_reproduction.py
figures/Figure5_trace_replay_audit.png,main,results/reproduction/replay_summary.json; results/reproduction/activation_model_metrics.json; results/reproduction/leakage_audit.json; results/reproduction/source_group_audit.json; traces/action_traces/portfolio_batch_test_primary_cost_contract_trace.json,regenerated by run_full_reproduction.py
figures/Figure5_trace_replay_audit.pdf,main,results/reproduction/replay_summary.json; results/reproduction/activation_model_metrics.json; results/reproduction/leakage_audit.json; results/reproduction/source_group_audit.json; traces/action_traces/portfolio_batch_test_primary_cost_contract_trace.json,regenerated by run_full_reproduction.py
figures/Figure5_trace_replay_audit.svg,main,results/reproduction/replay_summary.json; results/reproduction/activation_model_metrics.json; results/reproduction/leakage_audit.json; results/reproduction/source_group_audit.json; traces/action_traces/portfolio_batch_test_primary_cost_contract_trace.json,regenerated by run_full_reproduction.py
figures/Supplementary_Figure1_secondary_thermal_repository_context.png,SI,results/reproduction/thermal_regression_metrics.json,regenerated by run_full_reproduction.py
figures/Supplementary_Figure1_secondary_thermal_repository_context.pdf,SI,results/reproduction/thermal_regression_metrics.json,regenerated by run_full_reproduction.py
figures/Supplementary_Figure1_secondary_thermal_repository_context.svg,SI,results/reproduction/thermal_regression_metrics.json,regenerated by run_full_reproduction.py
figures/Supplementary_Figure2_descriptor_contrasts.png,SI,source_data/figure4_descriptor_contrasts.csv,regenerated by run_full_reproduction.py
figures/Supplementary_Figure2_descriptor_contrasts.pdf,SI,source_data/figure4_descriptor_contrasts.csv,regenerated by run_full_reproduction.py
figures/Supplementary_Figure2_descriptor_contrasts.svg,SI,source_data/figure4_descriptor_contrasts.csv,regenerated by run_full_reproduction.py
